reagent_name,drug_research_usage,reaction_mechanism,reaction_partners,final_reaction_product,safety_precautions,storage_conditions
Acetic Anhydride,Aspirin synthesis; Acetylation,Acetylation of alcohol/amine groups,Salicylic Acid,Aspirin (Acetylsalicylic Acid),Avoid water contact (exothermic); Fume hood required,Room Temp; Dry
Acetone,Solvent; Crystallization,Solvation; Nucleophilic addition,Drug intermediates,Purified crystals/Solvated compound,Highly flammable; Irritant,Flammables Cabinet
Acetonitrile,HPLC Mobile phase,Solvent interaction (Polar aprotic),Analytes,Separated drug components,Toxic by inhalation/skin absorption,Flammables Cabinet
Aluminum Chloride,Friedel-Crafts alkylation,Lewis Acid Catalyst,Benzene derivatives,Substituted aromatic compounds,Reacts violently with water; Corrosive,Dry; Moisture-free
Ammonia (Liquid),Birch reduction,Solvated electron reduction,Aromatic rings,1-4-Cyclohexadienes,Causes severe burns; Toxic fumes,Cool; Ventilated
Ammonium Chloride,Lysis buffer component,pH buffering; Proton donation,Cell membranes,Lysed cells for DNA extraction,Irritant to eyes/skin,Room Temp
Benzaldehyde,Synthesis of mandelic acid derivatives,Condensation reaction,Primary amines,Schiff bases,Combustible; Harmful if swallowed,Cool; Dark
Benzene,Solvent (Historical use),Non-polar solvation,Organic compounds,Dissolved analytes,Known Carcinogen; Use alternatives if possible,Flammables Cabinet
Benzoyl Peroxide,Radical initiator,Free radical polymerization,Monomers,Polymers/Drug delivery matrices,Explosive shock sensitivity; Oxidizer,Cool; Separated
Borane-THF,Reduction of amides/acids,Hydride transfer,Carboxylic acids,Primary Alcohols,Reacts with air/moisture; Flammable,Refrigerator; Inert gas
Bromine,Halogenation,Electrophilic addition,Alkenes/Phenols,Brominated derivatives,Severe burns; Toxic vapor,Corrosives Cabinet
Calcium Carbonate,Tablet excipient (Filler),Physical binding; pH buffering,Stomach Acid (in vivo),Calcium Chloride + CO2,Nuisance dust,Dry
Carbon Tetrachloride,Solvent (NMR spectroscopy),Non-polar solvation,Lipids,Dissolved lipids,Hepatotoxic; Carcinogen,Poison Cabinet
Chloroform,Liquid-liquid extraction,Solvation (Polar),Plant alkaloids,Extracted Alkaloids,Suspected Carcinogen; Volatile,Cool; Dark
Chromium Trioxide,Jones Oxidation,Oxidation of alcohols,Primary/Secondary Alcohols,Carboxylic Acids/Ketones,Strong Oxidizer; Carcinogen,Oxidizers Cabinet
Copper(II) Sulfate,Click chemistry catalyst,Azide-alkyne cycloaddition,Azides + Alkynes,Triazole-linked drug conjugates,Toxic to aquatic life,Room Temp
Cyclohexane,Non-polar solvent,Solvation,Hydrophobic drugs,Recrystallized product,Highly Flammable,Flammables Cabinet
Dichloromethane (DCM),Organic extraction solvent,Solvation,Organic layers,Extracted organic phase,Volatile; Suspected Carcinogen,Room Temp
Diethyl Ether,Solvent; Grignard reactions,Aprotic solvation,Grignard reagents,Organometallic complexes,Forms explosive peroxides over time,Cool; Dark; Test for peroxides
Dimethyl Sulfoxide (DMSO),Universal solvent for screening,Polar aprotic solvation,Poorly soluble drugs,Dissolved library compounds,Penetrates skin carrying toxins,Room Temp
Dimethylformamide (DMF),Peptide synthesis solvent,Polar aprotic solvation,Amino acids,Peptide chains,Hepatotoxic; Teratogenic,Flammables Cabinet
Ethanol,Solvent; Sterilization,Protein denaturation; Solvation,Bacteria/Raw materials,Sterile surface/Extract,Flammable,Flammables Cabinet
Ethyl Acetate,Extraction solvent (TLC),Solvation,Organic compounds,Separated TLC spots,Flammable; Irritant,Flammables Cabinet
Ethylene Glycol,Cryoprotectant,Hydrogen bonding interference,Protein solutions,Frozen preserved samples,Toxic if ingested (Kidney failure),Room Temp
Formaldehyde,Tissue fixation,Cross-linking of proteins,Tissue samples,Fixed/Preserved tissue,Carcinogen; Sensitizer,Ventilated cabinet
Formic Acid,LC-MS mobile phase modifier,Protonation,Analytes in MS,Protonated ions [M+H]+,Corrosive; Fume hood required,Corrosives Cabinet
Glacial Acetic Acid,Acidification; Recrystallization,Protonation,Amine drugs,Acetate salts,Corrosive; Flammable > 39°C,Acid Cabinet
Glycerol,Enzyme stabilizer,Viscosity modifier; H-bonding,Enzymes,Stabilized protein stock, viscous,Room Temp
Grignard Reagent (R-Mg-X),Carbon-carbon bond formation,Nucleophilic attack,Carbonyls,Alcohols (after workup),Reacts violently with water/air,Inert atmosphere (Argon/N2)
Hydrochloric Acid (Conc),pH adjustment; Hydrolysis,Protonation; Hydrolysis,Esters/Amides,Carboxylic acids + Amines,Severe burns; Corrosive fumes,Acid Cabinet
Hydrofluoric Acid,Glass etching; Silicon chemistry,Fluorination,Silicon dioxide,Silicon Tetrafluoride,FATAL on skin contact; Bone seeker,Plastic containers ONLY
Hydrogen Peroxide,Oxidation reactions,Radical generation; Oxidation,Sulfides/Alkenes,Sulfoxides/Epoxides,Strong Oxidizer; Pressure buildup,Cool; Vented cap
Iodine,Staining (TLC); Iodination,Electrophilic substitution,Starch/Aromatics,Blue complex/Iodo-compounds,Stains skin; Toxic vapor,Dark bottle
Isopropanol,Disinfectant; DNA precipitation,Dehydration,DNA in solution,Precipitated DNA pellet,Flammable,Flammables Cabinet
Lithium Aluminum Hydride,Strong reducing agent,Hydride transfer,Esters/Amides,Alcohols/Amines,Reacts explosively with water,Inert gas; Dry
Magnesium Sulfate,Drying agent,Hydration (Water absorption),Wet organic layers,Dry organic solvent,Dust irritant,Dry
Methanol,Solvent; HPLC,Solvation,Polar drugs,Dissolved solution,Toxic (Blindness if ingested),Flammables Cabinet
N-Butyllithium,Strong base; Lithiation,Deprotonation,Hydrocarbons,Organolithium intermediates,Pyrophoric (Ignites in air),Freezer; Inert gas
Nitric Acid,Nitration of rings,Electrophilic aromatic substitution,Benzene rings,Nitro-compounds (Precursor to amines),Strong Oxidizer; Corrosive,Acid Cabinet (Segregated)
Palladium on Carbon,Hydrogenation catalyst,Catalytic reduction,Alkenes/Alkynes,Alkanes (Saturated compounds),Pyrophoric when dry,Keep wet/Inert gas
Paraformaldehyde,Fixative preparation,Depolymerization to formaldehyde,Cell cultures,Fixed cells,Carcinogen (see Formaldehyde),Cool; Dry
Perchloric Acid,Protein precipitation,Oxidation/Acidification,Biological samples,Protein-free filtrate,Explosive with organics,Acid Cabinet (Glass only)
Phenol,DNA Extraction,Protein denaturation,Cell lysates,Separated DNA (Aqueous phase),Causes severe chemical burns,Poison Cabinet
Phenolphthalein,pH Indicator,Protonation/Deprotonation,Base titrants,Pink color (Basic endpoint),Possible Carcinogen,Room Temp
Phosphoric Acid,Buffer preparation,Protonation,Phosphate salts,Phosphate Buffer Saline (PBS),Corrosive,Acid Cabinet
Piperidine,Fmoc removal (Peptide synthesis),Base-catalyzed deprotection,Fmoc-protected amino acids,Free amine terminus,Toxic; Flammable,Flammables Cabinet
Platinum Dioxide (Adams Cat),Hydrogenation,Catalytic reduction,Nitro groups,Amines,Fire hazard,Room Temp
Polyethylene Glycol (PEG),Precipitant; Drug coating,Steric exclusion,Viruses/Proteins,Precipitated virus/Stealth drug,Low toxicity,Room Temp
Potassium Carbonate,Base in organic synthesis,Proton abstraction,Acidic protons,Potassium salts,Irritant,Dry
Potassium Cyanide,Nitrile synthesis,Nucleophilic substitution,Alkyl halides,Nitriles (Cyano compounds),FATAL poison; Gas with acid,Locked Poison Cabinet
Potassium Dichromate,Oxidation,Redox reaction,Primary Alcohols,Aldehydes/Acids,Carcinogen; Environmental toxin,Oxidizers Cabinet
Potassium Hydroxide,Saponification,Hydrolysis (Base),Esters,Carboxylate salts + Alcohol,Caustic burns; Exothermic with water,Dry; Base Cabinet
Potassium Iodide,Iodometric titration,Redox reaction,Peroxides,Iodine (Yellow/Brown color),Stains; Light sensitive,Dark bottle
Potassium Permanganate,Oxidation, oxidative cleavage,Alkenes,Glycols or Cleaved acids,Strong Oxidizer; Stains skin brown,Oxidizers Cabinet
Pyridine,Solvent; Base catalyst,Proton acceptor,Acyl chlorides,Acylated products,Unpleasant odor; Toxic (Male sterility),Fume hood
Raney Nickel,Hydrogenation catalyst,Surface catalysis,Double bonds,Saturated bonds,Pyrophoric (Ignites in air),Under water/ethanol
Resorcinol,Synthesis of resins/dyes,Condensation,Phthalic anhydride,Fluorescein dyes,Irritant; Light sensitive,Dark
Silver Nitrate,Chloride detection; Staining,Precipitation,Chloride ions,Silver Chloride (White precipitate),Stains skin black; Oxidizer,Dark bottle
Sodium Acetate,DNA precipitation buffer,Ionic strength adjustment,DNA,Precipitated DNA,Low toxicity,Room Temp
Sodium Azide,Preservative; Click chemistry,Inhibition of cytochrome oxidase,Buffers/Solutions,Bacterial-free solution,Highly Toxic; Explosive with metals,Cool; Locked
Sodium Bicarbonate,Neutralization; Wash,Acid neutralization,Acidic reaction mixtures,Neutralized organic layer,Low hazard,Room Temp
Sodium Borohydride,Mild reducing agent,Hydride transfer,Aldehydes/Ketones,Alcohols,Reacts with water (slowly); Flammable H2,Dry
Sodium Carbonate,Base for titrations,Proton abstraction,Acids,Salt + Water + CO2,Irritant dust,Dry
Sodium Chloride,Saline preparation; Brine wash,Osmotic balance,Organic layers,Dried organic layer (Brine),Low hazard,Room Temp
Sodium Citrate,Anticoagulant,Calcium chelation,Blood samples,Unclotted blood for analysis,Low hazard,Room Temp
Sodium Cyanoborohydride,Reductive amination,Hydride reduction of imines,Imines (from Amine+Ketone),Amines (Secondary/Tertiary),Toxic; Flammable H2 gas,Dry; Fume hood
Sodium Dodecyl Sulfate (SDS),Cell Lysis; PAGE,Protein denaturation,Cell membranes/Proteins,Denatured/Linearized proteins,Irritant dust,Room Temp
Sodium Ethoxide,Strong base,Deprotonation,Esters (Claisen condensation),Beta-keto esters,Moisture sensitive; Corrosive,Dry
Sodium Hydroxide,pH adjustment; Cleaning,Saponification/Hydrolysis,Acids/Fats,Neutralized waste/Soap,Severe burns; Heat on mixing,Base Cabinet
Sodium Hypochlorite (Bleach),Disinfection,Oxidation,Biological waste,Decontaminated waste,Corrosive; Gas with acid/ammonia,Cool
Sodium Metal,Solvent drying,Reaction with water/oxygen,Moisture in solvents,Anhydrous solvents,Explosive with water; Pyrophoric,Under oil
Sodium Nitrite,Diazotization,Formation of nitrosonium ion,Primary aromatic amines,Diazonium salts (Dye precursor),Toxic; Oxidizer,Oxidizers Cabinet
Sodium Sulfate (Anhydrous),Drying agent,Hydration,Wet organic extracts,Dry solvent,Low hazard,Dry
Sodium Thiosulfate,Iodine neutralization,Redox reaction,Excess Iodine,Iodide (Colorless),Low hazard,Room Temp
Sulfuric Acid,Dehydration; Catalysis,Protonation; Dehydration,Alcohols,Alkenes/Ethers,Severe burns; Charring of organics,Acid Cabinet
Tetrahydrofuran (THF),Solvent,Aprotic solvation,Lithium reagents,Dissolved reactants,Forms peroxides; Flammable,Flammables Cabinet
Thionyl Chloride,Chlorination,Substitution (OH to Cl),Carboxylic Acids/Alcohols,Acyl Chlorides/Alkyl Chlorides,Reacts violently with water (HCl gas),Fume hood; Dry
Toluene,Solvent (Benzene replacement),Solvation,Aromatic compounds,Dissolved analytes,Flammable; Reproductive toxin,Flammables Cabinet
Trifluoroacetic Acid (TFA),Peptide cleavage,Protonation/Deprotection,Boc-protected amines,Free amines,Corrosive; Volatile,Acid Cabinet
Triethylamine (TEA),Base in organic synthesis,Proton scavenger,Acid byproducts (HCl),Triethylammonium chloride salt,Flammable; Fishy odor,Fume hood
